time	serving_cell_id	ue_id	distance_to_cell(m)	throughput(Mb/s)	sc_power(dBm)	rsrp(dBm)	noise_power(dBm)	sinr(dB)	cqi	mcs
0.0	0	8069	200.20256012363535	-inf	10.0	-inf	-118.0			
0.0	0	3974	202.85946973876676	-inf	10.0	-inf	-118.0			
0.0	0	1934	172.50832492844165	-inf	10.0	-inf	-118.0			
0.0	0	8078	248.18007459876068	-inf	10.0	-inf	-118.0			
0.0	0	6040	236.36921009335597	-inf	10.0	-inf	-118.0			
0.0	0	1946	256.6796583561922	-inf	10.0	-inf	-118.0			
0.0	0	1949	213.5695695411518	-inf	10.0	-inf	-118.0			
0.0	0	6052	224.42098805177415	-inf	10.0	-inf	-118.0			
0.0	0	1972	238.6963117959999	-inf	10.0	-inf	-118.0			
0.0	0	4020	157.68017013970473	-inf	10.0	-inf	-118.0			
0.0	0	6080	235.55566268063836	-inf	10.0	-inf	-118.0			
0.0	0	6081	255.38936699804273	-inf	10.0	-inf	-118.0			
0.0	0	6091	181.96832063428062	-inf	10.0	-inf	-118.0			
0.0	0	6100	177.67082941413753	-inf	10.0	-inf	-118.0			
0.0	0	4057	60.33564817163638	-inf	10.0	-inf	-118.0			
0.0	0	4070	269.2942565869506	-inf	10.0	-inf	-118.0			
0.0	0	6118	245.61565376475545	-inf	10.0	-inf	-118.0			
0.0	1	5	111.9859951150646	-inf	10.0	-inf	-118.0			
0.0	1	6150	226.58257825571994	-inf	10.0	-inf	-118.0			
0.0	1	4104	160.68272442034348	-inf	10.0	-inf	-118.0			
0.0	1	12	113.96215640504006	-inf	10.0	-inf	-118.0			
0.0	1	31	204.1148740955033	-inf	10.0	-inf	-118.0			
0.0	1	8224	127.63562753917027	-inf	10.0	-inf	-118.0			
0.0	1	6181	215.82110164139675	-inf	10.0	-inf	-118.0			
0.0	1	48	234.55053279772653	-inf	10.0	-inf	-118.0			
0.0	1	2096	168.57414570749998	-inf	10.0	-inf	-118.0			
0.0	1	6196	242.43190252125424	-inf	10.0	-inf	-118.0			
0.0	1	6197	245.4593560360062	-inf	10.0	-inf	-118.0			
0.0	1	55	253.59231572941653	-inf	10.0	-inf	-118.0			
0.0	1	4151	137.37270310232176	-inf	10.0	-inf	-118.0			
0.0	1	4152	173.90222458752126	-inf	10.0	-inf	-118.0			
0.0	1	2107	213.88687156010738	-inf	10.0	-inf	-118.0			
0.0	1	4160	199.15566441034096	-inf	10.0	-inf	-118.0			
0.0	1	8259	220.7883878925311	-inf	10.0	-inf	-118.0			
0.0	1	6215	108.38212194516339	-inf	10.0	-inf	-118.0			
0.0	1	8269	246.23159569459486	-inf	10.0	-inf	-118.0			
0.0	1	81	247.54365025192624	-inf	10.0	-inf	-118.0			
0.0	1	2129	123.8652965214876	-inf	10.0	-inf	-118.0			
0.0	1	6227	17.187601665349632	-inf	10.0	-inf	-118.0			
0.0	1	4184	197.1198365621669	-inf	10.0	-inf	-118.0			
0.0	1	4185	210.61666200764014	-inf	10.0	-inf	-118.0			
0.0	1	8280	132.56016258502038	-inf	10.0	-inf	-118.0			
